"draw","va_cs","grad_cs_tau0.00","grad_cs_tau0.50","grad_cs_tau1.00","va_nav","va_obj","va_obj_prem","va_obj_eoop","va_obj_risk","uniflow_dcs","uniflow_obj","uniflow_nav","uniflow_dcs_lo","uniflow_dcs_hi","flatmand_dcs","flatmand_obj","defund_dcs","defund_obj","aligned_dcs","aligned_dcs_comm","aligned_nav","aligned_obj","aligned_obj_prem","aligned_obj_eoop","aligned_obj_risk","dshare_zero_tau0.00","dobjins_zero_tau0.00","doop_zero_tau0.00","dmort_zero_tau0.00","dcat_zero_tau0.00","dshare_zero_tau0.50","dobjins_zero_tau0.50","doop_zero_tau0.50","dmort_zero_tau0.50","dcat_zero_tau0.50","dshare_zero_tau1.00","dobjins_zero_tau1.00","doop_zero_tau1.00","dmort_zero_tau1.00","dcat_zero_tau1.00","dshare_uniform_low","dobjins_uniform_low","doop_uniform_low","dmort_uniform_low","dcat_uniform_low","dshare_aligned","dobjins_aligned","doop_aligned","dmort_aligned","dcat_aligned","dshare_flat_mandate","dobjins_flat_mandate","doop_flat_mandate","dmort_flat_mandate","dcat_flat_mandate","dshare_defund_0.50","dobjins_defund_0.50","doop_defund_0.50","dmort_defund_0.50","dcat_defund_0.50","dshare_endog_tau0.50","dobjins_endog_tau0.50","doop_endog_tau0.50","dmort_endog_tau0.50","dcat_endog_tau0.50","shareworse_obj_zero_tau0.00","shareworse_obj_zero_tau1.00","shareworse_obj_uniform_low","shareworse_obj_flat_mandate","shareworse_nav_zero_tau0.00","shareworse_nav_zero_tau1.00","shareworse_nav_uniform_low","shareworse_nav_flat_mandate"
1,391.211381032065,-265.682764657859,-111.55259490607,125.528616374206,12.4719708830144,442.686668484967,-40.4420251014362,-65.1921436119371,548.32083719834,-4.58694884069785,-47.4092662236388,-1.13563875434379,-4.58694884069786,-4.58694884069785,-1.62327714061072,-16.1300628789128,-34.7720859101934,-11.7322707513559,5.54371694487285,0.939038644842159,1.83073265400769,6.75433315259919,9.01849640245691,0.519115033979043,-2.78327828383677,0.0615916468084014,170.351117006754,33.5400986011455,0.000244548774906263,0.00359371854267834,0.0281550994307938,86.3874374721935,15.6676107237484,0.000113717070421761,0.0015892701699097,-0.00230645252262547,15.3528474616958,-0.602876178704902,-4.31612098997863e-06,-0.000238191874382798,0.00606201861615998,15.2142836393552,3.36179278850731,2.65898417759369e-05,0.000362280397630982,-0.000175272339068784,9.97395091551635,0.0333278000256226,1.7567365186082e-06,-1.2980103647649e-05,0.00134303138574273,1.89124206245582,0.795718648683649,7.95292245604709e-06,8.77992887303988e-05,0.00100919598170348,-4.17688190225354,0.379259762840462,2.90547147549511e-06,8.79712220481775e-05,-0.00104733685115726,6.00975916022927,-0.239309900768463,-1.71810587666468e-06,-0.000113469685247693,0.964540299634986,0.400009083680822,0.847363116691379,0.59901413317251,0.708211474988545,0.425421543156395,0.652727432658592,0.489548305347356
2,390.450442875964,-269.469724726202,-110.720359499761,120.980718149762,12.1224824890871,428.337440506893,-39.3754462330095,-63.3707581599246,531.083644899827,-4.57650774714734,-46.4153583446176,-1.12293820235891,-4.57650774714734,-4.57650774714733,-1.60457780435741,-15.8243233836468,-33.2164571300933,-10.0600899868199,5.57678047483306,1.03261884176498,1.82900326450801,6.92126024776231,8.97243578842223,0.53613229763584,-2.58730783829583,0.0603863496582236,166.999690738161,32.869629017157,0.000239607754005998,0.00352515745358266,0.0280220509859865,85.4982789515975,15.5664083511027,0.0001130240047317,0.001585936694151,-0.00152713383958676,16.37938202703,-0.220177557691201,-1.44857951468141e-06,-0.000186059055589306,0.00593312805190072,14.8407736173448,3.28841840110429,2.60060039313198e-05,0.000354780086234671,-0.000186385297799656,9.93090948582953,0.0260305760374229,1.66063656842889e-06,-1.38131835281628e-05,0.00132120234009144,1.85374453524046,0.781737564937552,7.79867157100293e-06,8.63169327936877e-05,0.000796191946057025,-4.44444271768849,0.274032149947019,2.10767789447195e-06,7.34023258678463e-05,-0.000655745197459862,6.58133636601818,-0.0472717605007197,-2.7893466950725e-07,-8.72231514605858e-05,0.964282162123006,0.423883066581656,0.845116917895599,0.59885315655034,0.705692190851584,0.430915445304456,0.651582773891662,0.489711581635557
3,386.940209553039,-266.861411730357,-113.176612997849,120.078797822682,12.22243758879,437.919311455678,-39.0780202978819,-64.8528068718589,541.850138625419,-4.57432841663609,-47.0900996298316,-1.12250218586092,-4.5743284166361,-4.57432841663609,-1.61242775159855,-16.0209679425501,-33.2233999200207,-10.6892582102688,5.57307620126403,0.945808910683811,1.8166594759267,6.79530964187636,8.99742272367774,0.548529283018773,-2.75064236482005,0.0614211650664037,169.647559352124,33.4290580502186,0.000243839178756188,0.00358677399098233,0.0283922682964763,86.9137216302673,15.785062007136,0.000114613266771558,0.00160488859160011,-0.00173097342888681,16.8715167409616,-0.294966086775462,-2.10589289640661e-06,-0.000204061373790686,0.00602163588793467,15.1106069064386,3.33801022288299,2.64096578416865e-05,0.000360034109213939,-0.000177394976285902,9.98584966199624,0.031638414445767,1.74351014992743e-06,-1.30071326505683e-05,0.00133572621264065,1.90128346201653,0.791303347088415,7.90922665102723e-06,8.73127205074689e-05,0.000854962569948393,-4.56665012694785,0.297906397050787,2.31121937862297e-06,7.83472291737641e-05,-0.000759146510102944,6.7858104390511,-0.0856467791927665,-6.14250792626697e-07,-9.62984470649326e-05,0.964475908986117,0.416238401778102,0.846653669720815,0.598792215400518,0.705406457347232,0.425433616403058,0.651195855081946,0.489416074550573
4,381.03709349743,-259.737966177734,-109.28349575158,121.299127319697,12.0937827240009,435.807839322619,-39.3146000995411,-64.5943356803584,539.716775102518,-4.57013122666452,-46.4188703227347,-1.12193120989316,-4.57013122666451,-4.57013122666452,-1.61934681188856,-15.8724478628032,-33.5597519668183,-11.5922280254668,5.56061936082033,1.12765878185475,1.76829519132093,6.85532749052253,8.70085065000871,0.603829852366564,-2.44935301185279,0.0606276751932315,167.537493032903,32.9967399664279,0.000240676207150484,0.00354026161360365,0.0277283522673468,84.9468110370282,15.4170837577163,0.000111945327086205,0.0015668038194142,-0.00227107966206884,14.964995827297,-0.600975456167075,-4.3117216903837e-06,-0.000234182194533795,0.0059290426955674,14.7759297256558,3.28512214810707,2.59784736739568e-05,0.000354600255133803,-0.000197380657943383,9.71666136090015,0.0173034194250535,1.59422702128893e-06,-1.41349329346206e-05,0.00132456663247101,1.79282863791115,0.782532838967806,7.78934977169016e-06,8.65657461656348e-05,0.00100009817994807,-4.06472653323622,0.378298849115326,2.89970365395438e-06,8.6971915543662e-05,-0.00103023219333519,5.85495279472741,-0.238799316734914,-1.71708722867709e-06,-0.000111474025317217,0.964389671509955,0.401622874318077,0.844910522869316,0.599881682182705,0.705025287702593,0.427460772009385,0.651440194597739,0.489748951208561
5,385.382779323453,-261.005626751459,-107.451117921975,124.377152571994,12.0748583464196,436.14417137111,-40.4094615507981,-64.5083029025036,541.061935824412,-4.55608867831619,-46.8575636272018,-1.12491618309282,-4.55608867831619,-4.55608867831619,-1.6040447068318,-15.9701427298749,-34.4345422637986,-11.725394585667,5.55070115863938,1.15563616916422,1.79730410225973,6.82609309814292,8.86489631293651,0.578411430198969,-2.61721464499248,0.0607845518623869,168.805076233738,33.105473496311,0.000241103163236412,0.00354552849989502,0.0277754302174844,85.6002831645279,15.4571507713453,0.000112062624179879,0.00156729952754976,-0.00232624360497186,15.0864384505153,-0.624159640574493,-4.46109479917708e-06,-0.00023833406819992,0.00600238561963157,15.0221261336652,3.32555822325189,2.62629276891828e-05,0.000358993153143883,-0.000182005173308987,9.87082283033516,0.0271998598076513,1.67386683383934e-06,-1.32757220284065e-05,0.00133607778687699,1.84769487951811,0.789625048788021,7.85627966002339e-06,8.73418606761217e-05,0.00101370594715873,-4.10086518841464,0.384028024981501,2.93681918058077e-06,8.80137753164119e-05,-0.00105727197489338,5.87850298785249,-0.249892053611383,-1.78946438769941e-06,-0.00011353093574531,0.964254566130634,0.399631363535231,0.84601091306515,0.599054377328053,0.70324247161206,0.426568501589357,0.650371424809832,0.488921646353908
6,409.803260278818,-279.563847155982,-107.755465579042,130.239413122835,12.5999106447109,446.771484129136,-40.0243840211153,-65.6989548895407,552.494823039792,-4.59294382918052,-46.7273112706421,-1.13085369419351,-4.59294382918052,-4.59294382918052,-1.62424225354058,-15.9388811749889,-34.4780080600086,-12.2607052752654,5.55899150728454,1.03619753333254,1.8018368534357,6.82406275594651,8.84288829949277,0.55535662716798,-2.57418217071432,0.0617525125922982,170.099504210142,33.6177486808788,0.000245312153309159,0.00361189804711606,0.0280815554561164,85.8087162210535,15.6256712172994,0.000113450856709359,0.00158869838301767,-0.00257226063293784,14.6920350721519,-0.743223906505633,-5.43034429621632e-06,-0.000254814661232623,0.00596305787708675,14.9023503025191,3.30646188833152,2.61669004091997e-05,0.000357083271371116,-0.000186505884755115,9.81859306512075,0.0248535458389045,1.65219842309189e-06,-1.35543983721804e-05,0.00132890516663518,1.84824025195751,0.786209597644181,7.84633211461168e-06,8.69998476662624e-05,0.00108074495472591,-3.99150590430541,0.416622984464208,3.20537582199841e-06,9.26627936895271e-05,-0.00118284492320036,5.65511982601074,-0.310916064866811,-2.28454073345091e-06,-0.000121920161365144,0.964576519374974,0.392280481067137,0.845689534737318,0.599409675729842,0.709563103698265,0.424512600157642,0.653224735437796,0.489883481671374
7,387.950422184957,-265.183535784694,-112.384671141715,122.766886400263,12.4686390726939,437.381487643136,-39.6793723510349,-64.3989168617913,541.459776855962,-4.57311419537355,-45.9493408711046,-1.14297872496783,-4.57311419537354,-4.57311419537353,-1.62274934491786,-15.7395859359516,-33.6988548093397,-12.1374333601291,5.54107192985213,1.0450736332912,1.77841798675289,6.89584829696015,8.78827499029347,0.572254308075939,-2.46468100140938,0.0605961608194166,167.734661976283,32.9959739667291,0.000240549104708198,0.00353705936300736,0.0275984642727194,84.9194534711045,15.3609764233069,0.000111429467231156,0.00155740307306575,-0.00249322934651012,14.93707557228,-0.709109662051976,-5.18314833295592e-06,-0.000249463450432964,0.00586394710750806,14.5626536292604,3.24871387059953,2.56866392174908e-05,0.00035093672134659,-0.000189150981065042,9.7696524708763,0.0213029441751944,1.5943107587932e-06,-1.38185386740113e-05,0.00130853936035123,1.71352881901694,0.772790323405664,7.69565528433301e-06,8.55959526894113e-05,0.00105579930762552,-4.07577257535662,0.405477828028066,3.12167902652806e-06,9.09034287748797e-05,-0.00114422394371702,5.75772804287089,-0.294672624877745,-2.16484752582648e-06,-0.000119274562742521,0.964347127688381,0.393989707844678,0.844208549813353,0.599606872092,0.709961520838136,0.424221117488213,0.655066767928628,0.490212333913807
8,397.874140338854,-269.034699188039,-110.351720203123,128.839441150815,12.6614750451127,446.870902785882,-39.8004603937813,-65.9076723403837,552.579035520047,-4.57512864822385,-46.6185498933734,-1.12971468096101,-4.57512864822386,-4.57512864822385,-1.61370518429441,-15.8905753876275,-35.1718765567402,-13.3268490653044,5.57269803570127,0.948317320534591,1.80860227423214,6.85549878844353,8.9330227950397,0.545232799488858,-2.62275680608507,0.0613001937014817,169.188649382078,33.3653030435447,0.000243346481415258,0.00357903679978143,0.0275874298591473,84.9011290835999,15.360182572552,0.000111454451018912,0.00155538379370963,-0.00310438303180102,13.7251269243283,-1.01966852097157,-7.43517033173534e-06,-0.000288200431636197,0.00595699172436864,14.9215491429317,3.30239582388186,2.61297953153486e-05,0.000356148251976299,-0.000184343015085133,9.90267579167797,0.0275067688664694,1.6775433047944e-06,-1.36324825552927e-05,0.00132546882381949,1.87261593170584,0.784653752593837,7.83805886094065e-06,8.65904773017973e-05,0.00122213508619915,-3.75869402883013,0.489704878334666,3.74166136228445e-06,0.000101837607281042,-0.00145310700723168,5.13267512493722,-0.45152213321016,-3.30556210285237e-06,-0.000138910276631273,0.964481658151195,0.376937684224808,0.845440595889462,0.598951467273165,0.70895886644862,0.421696659102682,0.65352771643738,0.490424478105167
9,393.560940452866,-264.628429151746,-105.695120400283,128.93251130112,12.4203901118143,441.890548558069,-39.2803916388134,-65.41368371444,546.584623911322,-4.57751991547764,-47.8726551924686,-1.14105291783498,-4.57751991547763,-4.57751991547764,-1.61163601357149,-16.2450044533849,-35.0400468717054,-12.3161541800554,5.55858041692526,0.924020093200311,1.83807630127442,6.71927926024186,9.07387120770327,0.533228090773753,-2.88782003823507,0.0612215707526572,169.475637928685,33.3335378623618,0.000242982512862546,0.00357222330156733,0.0278651682224705,86.0068996390445,15.5182998215018,0.000112558123812067,0.00157037775031718,-0.00252019238185909,15.4984527479157,-0.69851266372978,-5.08460807885099e-06,-0.00025439624022769,0.00613192916862334,15.4152199306444,3.39932825163163,2.6867251790418e-05,0.000366495014977659,-0.000167748897157381,10.0624397742895,0.0382039313636341,1.81209935321004e-06,-1.23794095352231e-05,0.00135424951015226,1.92329476736936,0.802011169818913,8.01754751395759e-06,8.85664454872768e-05,0.0010700568844596,-4.21477776973694,0.407092898766965,3.12804113826453e-06,9.25817739148304e-05,-0.00115570281224633,6.0596930940024,-0.288184164814671,-2.10961994686616e-06,-0.000121660289140077,0.964450037743269,0.392953133381205,0.8485664169421,0.598628939112317,0.707387619632939,0.422285948523126,0.652739505905255,0.489224052436985
10,385.192525677849,-263.300770814984,-112.553888086834,121.891754862865,12.3857157616733,441.887435302338,-40.0943914798215,-65.1586860473154,547.140512829475,-4.55951392700392,-47.5010890392399,-1.13388232837911,-4.55951392700392,-4.55951392700391,-1.61601561978653,-16.1639261519728,-33.354134644281,-11.4949008730855,5.55042843057452,0.913019671355993,1.82582979169082,6.755407363256,9.03998438319245,0.533030682397827,-2.81760770233419,0.0615654362052902,170.608352142832,33.5131352328724,0.000244768171372602,0.00359422797186558,0.0282400672969728,86.933106379368,15.7107940109964,0.000114221472020454,0.0015944610006027,-0.0021251918182521,16.1478201097721,-0.497264966914183,-3.58882248000912e-06,-0.00022925068896497,0.00606636655547476,15.2460920282618,3.36241480831367,2.66482901003006e-05,0.00036291214664302,-0.000173703130626768,10.0169115035742,0.0345086093402334,1.77630100660741e-06,-1.28226975264713e-05,0.00134628553770005,1.92229143201257,0.797788099213402,7.98314305990145e-06,8.79872056901693e-05,0.000962153074996819,-4.38507714470541,0.352690781684205,2.71874072065861e-06,8.5424286953861e-05,-0.000957963099301452,6.38884902521234,-0.187733092141096,-1.36135130528614e-06,-0.000109024992115701,0.964465560488978,0.404549199342525,0.847171669494298,0.59875082141196,0.707162252361901,0.423592158828734,0.652173213145121,0.489321213326795
