"statistic","point","boot_mean","se","ci_lo","ci_hi","n_draws"
"va_cs",435.149608058209,435.331131003612,2.40944528864497,431.710970181203,439.602509311868,30
"grad_cs_tau0.00",-529.671277704678,-529.584360702412,1.81207336456012,-533.086884515841,-526.736873524828,30
"grad_cs_tau0.25",-428.817416131187,-428.699906780026,1.86173986920203,-432.002854858249,-425.746245625363,30
"grad_cs_tau0.50",-311.358649021365,-311.203470937675,2.10426104613702,-315.221236373155,-307.937958184296,30
"grad_cs_tau0.75",-201.918967287328,-201.716627994024,2.47102627299329,-206.686481997509,-197.66003303373,30
"grad_cs_tau1.00",-94.5216696464694,-94.2532296988004,2.92635058590223,-100.145783056033,-89.2900588760763,30
"va_nav",82.7294876586936,84.1470835256758,29.8952836218398,54.9044705640047,153.096449914526,30
"va_obj",289.993787991243,289.922398604006,1.96868950115995,286.381805217831,292.656593286982,30
"va_obj_prem",-213.272835061338,-213.540926251419,1.53734125880994,-217.229533542441,-211.633742284962,30
"va_obj_eoop",-121.791848563593,-121.931584169933,0.828849382454372,-123.195247526679,-120.204124125844,30
"va_obj_risk",625.058471616174,625.394909025359,2.60322791763526,620.416581254843,629.265850941095,30
"grad_cs_endog_tau0.50",-57.3510795468286,-57.2224080025742,1.46761449610608,-60.2919044099231,-54.9925752681985,30
"grad_cs_endog_tau1.00",-97.6701219119382,-97.4166402674081,2.87719858810222,-103.322328125985,-92.8725326746292,30
"va_cs_endog",-97.6701219119382,-97.4166402674081,2.87719858810222,-103.322328125985,-92.8725326746292,30
"va_nav_endog",5.16316941917485,3.02911311270792,0.819423363706986,1.82034515447308,4.83176911138919,30
"va_obj_endog",-52.7822950502481,-52.9003783747107,1.47309466581314,-55.8370230845362,-50.6066558488823,30
"flatmand_dcs",4.42180164024898,4.42004407335578,0.0599250465913826,4.32468586256914,4.52554876776705,30
"flatmand_obj",7.79695670378854,7.80059752578399,0.0735507500405397,7.6685747344958,7.90074439200664,30
"defund_dcs",125.550399851256,125.399450072874,1.91477815729894,122.831612642027,129.028702713306,30
