term,estimate
premium,-0.501356409475868
silver,1.36704270766909
bronze,0.142140824937739
hmo,-0.506438798590485
hsa,-0.70416816175228
Anthem,2.23810259775914
Blue_Shield,0.630335238228102
Kaiser,2.38283601722189
Health_Net,-0.0276154523176101
hh_size_prem,-0.0043984613790425
perc_0to17_prem,-0.897245843255467
perc_18to34_prem,-1.04217480525489
perc_35to54_prem,-0.429956786322698
perc_male_prem,-0.119421872574782
perc_black_prem,-0.239831589996
perc_hispanic_prem,-0.432563432725519
perc_asian_prem,-0.517632784773747
perc_other_prem,-0.0779569374502566
FPL_250to400_prem,0.0214885816580375
FPL_400plus_prem,0.162376682221782
cf_anthem,2.36392482655086
cf_blue_shield,-0.277124714066123
cf_kaiser,1.34261302880333
cf_health_net,-0.656149610580699
cf_silver,0.254954267061088
cf_bronze,0.975632222814847
