"term","estimate"
"premium",-0.686816136857874
"silver",0.484637199442013
"bronze",-1.69153294081707
"hmo",-0.49815964445202
"hsa",-0.75142027213106
"Anthem",0.187647970521827
"Blue_Shield",0.342178168110519
"Kaiser",0.722057695057159
"Health_Net",0.157297297323945
"hh_size_prem",-0.0289763079273462
"perc_0to17_prem",0.238002782675491
"perc_18to34_prem",-0.360071424181434
"perc_35to54_prem",-0.272370019455231
"perc_male_prem",-0.0239435657348054
"perc_black_prem",-0.177687496711634
"perc_hispanic_prem",-0.357706285868946
"perc_asian_prem",-0.302591524100127
"perc_other_prem",-0.227125041828663
"FPL_250to400_prem",0.0910676618598561
"FPL_400plus_prem",0.518859154977281
"perc_0to17_silver",-0.983247554722258
"perc_0to17_bronze",1.13303584214569
"perc_18to34_silver",0.273124249119562
"perc_18to34_bronze",0.616955458184859
"perc_35to54_silver",0.0465337072994027
"perc_35to54_bronze",0.00756828280273104
"perc_male_silver",-0.108197657381695
"perc_male_bronze",0.106475022664076
"assisted_silver",1.37166106942146
"assisted_bronze",1.80989843293827
"broker_silver",1.35338950225835
"broker_bronze",1.86623204369477
"assisted_premium",0.467160156727868
"broker_premium",0.49658774206412
"nav_dominated",-0.0598624482401359
"broker_dominated",-0.341192062903403
"commission_broker",0.0218788314038128
"lambda",0.677656376042308
