"term","estimate","se","z","p_value"
"premium",-0.682002770768562,0.0044875783053935,-151.975681393432,0
"silver",0.482968364179333,0.00533052162471644,90.6043344688663,0
"bronze",-1.67733519486919,0.0104122036054746,-161.093199713005,0
"hmo",-0.497377303841242,0.00374544943517824,-132.795092404598,0
"hsa",-0.747625361276635,0.00456943430448757,-163.614423899782,0
"Anthem",0.184763958044758,0.00304102985591482,60.7570352146957,0
"Blue_Shield",0.336209312206926,0.00277183485539901,121.294856925568,0
"Kaiser",0.713744116036925,0.00282729887755601,252.447352383878,0
"Health_Net",0.154169210187533,0.00311712896830948,49.4587204298909,0
"hh_size_prem",-0.028342116316715,0.00175868209802279,-16.1155426262534,1.98414626070245e-58
"perc_0to17_prem",0.24236503168502,0.0106186748492094,22.8244140748941,2.62430008100204e-115
"perc_18to34_prem",-0.361368396258697,0.00335222951598306,-107.799419620802,0
"perc_35to54_prem",-0.273806507930096,0.00285048701809693,-96.0560445256466,0
"perc_male_prem",-0.024158496212177,0.00248645013983724,-9.71605898108151,2.57557655833373e-22
"perc_black_prem",-0.177558368916052,0.00662374909193298,-26.8063247039806,2.72673954630203e-158
"perc_hispanic_prem",-0.357094665053829,0.00322015105394108,-110.89376214721,0
"perc_asian_prem",-0.303763380758632,0.00358225805677861,-84.7966215565707,0
"perc_other_prem",-0.226607910490982,0.00274001931989886,-82.7030338236251,0
"FPL_250to400_prem",0.0939571493939477,0.00267074713362655,35.1800993103998,4.03008786144486e-271
"FPL_400plus_prem",0.519003607460193,0.0045334285632712,114.483684967497,0
"perc_0to17_silver",-1.02250516894334,0.0194574110470393,-52.5509363229971,0
"perc_0to17_bronze",1.09307758016479,0.0206526490996874,52.9267492460005,0
"perc_18to34_silver",0.275886788519636,0.0054138526071046,50.9594199438658,0
"perc_18to34_bronze",0.615675933963159,0.00663742161958272,92.7582982142793,0
"perc_35to54_silver",0.0503312174911444,0.00500564350982243,10.0548945190326,8.7414997311209e-24
"perc_35to54_bronze",0.00866613172858739,0.00580638644608814,1.4925172151478,0.135563607652867
"perc_male_silver",-0.10799528902985,0.00444992614258851,-24.2690070732341,4.16629761389567e-130
"perc_male_bronze",0.105448813849545,0.0051095078669102,20.6377632829268,1.25748527296353e-94
"assisted_silver",1.38141981737896,0.008994792995405,153.579945428945,0
"assisted_bronze",1.81220723920019,0.011741233954166,154.345552288155,0
"broker_silver",1.42675836258229,0.00710883029592657,200.702267910353,0
"broker_bronze",1.92592639915188,0.010279417444047,187.357543327245,0
"assisted_premium",0.461848849898276,0.00403979745372324,114.324753948398,0
"broker_premium",0.487066287425902,0.0032767513804679,148.643040277395,0
"commission_broker",0.0206425824386221,0.000282274846700148,73.1293725953205,0
"lambda",0.673856236211299,0.00244897041484615,275.158994214976,0
