"term","inside","premium","av","hmo","Anthem","Blue_Shield","Kaiser","Health_Net","hh_size_prem","perc_0to17_prem","perc_18to34_prem","perc_35to54_prem","perc_male_prem","perc_black_prem","perc_hispanic_prem","perc_asian_prem","perc_other_prem","FPL_250to400_prem","FPL_400plus_prem","hh_size_av","perc_0to17_av","perc_18to34_av","perc_35to54_av","perc_male_av","perc_black_av","perc_hispanic_av","perc_asian_av","perc_other_av","FPL_250to400_av","FPL_400plus_av","hh_size_insured","perc_0to17_insured","perc_18to34_insured","perc_35to54_insured","perc_male_insured","perc_black_insured","perc_hispanic_insured","perc_asian_insured","perc_other_insured","FPL_250to400_insured","FPL_400plus_insured","assisted_av","broker_av","assisted_premium","broker_premium","commission_broker","commission_broker_sq","lambda"
"inside",0.00071287987783701,6.17338873315139e-05,-0.000695691523140736,2.16078603961471e-05,-3.69376305916553e-05,-4.86207302541882e-05,-5.74024015829934e-05,-2.72108515577352e-05,-1.54522756344678e-06,-9.06679968250121e-06,1.93775282681903e-05,9.56810185163145e-06,4.22433000440815e-08,6.05997588246957e-06,1.56086478998779e-05,1.2997253540466e-05,2.40713764306527e-06,-4.34940815531761e-05,-5.43444026904272e-05,3.07395810636695e-05,0.000274410566007803,0.000240258374535274,0.000124565559919953,6.77602331990447e-05,1.83002556575147e-05,-2.33208885371106e-05,3.16523523694825e-06,4.40660842348757e-05,0.000438864266039196,0.000505095224296709,-1.35588770486604e-05,-0.000187961515285296,-0.00022791102477546,-0.000122452631161524,-6.16192282170558e-05,-4.00636471448741e-05,2.23692451831155e-06,1.01900388509158e-06,-2.01311653074734e-05,-0.000371766015755528,-0.000451498239288003,-0.000110883792609175,-0.000109985285385474,9.22233611469707e-06,4.32627355660708e-06,-3.6636055552701e-06,9.13323007084832e-06,-4.02431107376482e-05
"premium",6.17338873315136e-05,9.86277477165218e-06,-7.41872311652552e-05,1.97466195375041e-06,-3.20169048141355e-06,-4.21003587938134e-06,-5.02537314929668e-06,-2.27006816519319e-06,-1.51061736444497e-06,4.9102286147799e-06,5.87342713923949e-07,2.83766852711163e-07,-4.83870721252671e-07,-4.00857992657021e-07,9.07296932512529e-07,9.13755812310344e-07,-1.53953414731051e-07,-5.60526762675358e-06,-6.65423723753223e-06,6.41080609642816e-06,4.61076152969961e-06,2.41668879272018e-05,1.17251810299911e-05,6.82558775843113e-06,2.80578193967964e-06,-2.42528407294598e-06,-7.11612056496123e-07,3.27637518446862e-06,4.83421560091426e-05,5.30080438772908e-05,-1.85217866953728e-06,-9.42223157002346e-06,-1.89983085893541e-05,-9.17651141321353e-06,-4.73665539939612e-06,-2.0268234841735e-06,1.65411387440684e-06,1.53150732453357e-06,-4.93460316927928e-07,-3.68583081785197e-05,-4.04939684985311e-05,-1.71604886789146e-06,-3.30116702354764e-06,-6.89148338859843e-07,-7.85555640439602e-07,-2.50340636655971e-07,6.30166915132993e-07,-3.5913734987683e-06
"av",-0.00069569152314072,-7.41872311652542e-05,0.000802704142604306,-2.23654954811909e-05,3.46113799097956e-05,4.5645487601328e-05,5.43750559934588e-05,2.47820811239586e-05,5.36007834257897e-06,-3.92965241923182e-06,-1.43383309541523e-05,-6.7966388896586e-06,1.60472598994257e-06,-3.39306247890963e-06,-1.417424647939e-05,-1.23506254629224e-05,-1.8288346211909e-06,4.55162729202848e-05,5.68433569314797e-05,-5.66204849608783e-05,-0.000180479582576288,-0.00027552365756249,-0.000148202575011356,-8.20246655140296e-05,-3.90161570764009e-05,1.57256727342081e-05,-4.50053167580193e-06,-4.56035832638657e-05,-0.000447031316585222,-0.000517853879142102,1.92912465613354e-05,0.000142161687441134,0.000223434110487902,0.000119387857874788,6.14856694555482e-05,3.7357400030311e-05,-4.03483842276981e-06,-3.88708016291903e-06,1.7828217563512e-05,0.000364578685484038,0.000436913005875317,2.3392217211144e-05,3.93731432587477e-05,-9.92033896762067e-07,2.02709716759254e-06,3.16472388509218e-06,-7.94774911558045e-06,3.87715564006647e-05
"hmo",2.16078603961464e-05,1.97466195375036e-06,-2.23654954811906e-05,2.29278608302671e-06,-1.27528200643077e-06,-1.76863166117034e-06,-3.01658399358316e-06,-8.17140647895649e-07,1.2570803367117e-07,-8.50124694007316e-07,1.21454423185331e-06,6.65864086798216e-07,8.94646120347148e-08,4.99278707298488e-07,8.90130189983014e-07,6.76124548251036e-07,2.5509868297259e-07,-1.54018420490697e-06,-1.89939507170374e-06,-1.31242879227394e-06,1.85260433109022e-05,6.5208321892185e-06,2.37253959927371e-06,1.22787122945592e-06,-2.76675350069989e-06,-4.21734514408357e-06,-2.00988637741954e-06,-5.83097761522744e-07,1.58989742099978e-05,1.7370943589972e-05,1.89173668171326e-06,-1.32015362138526e-05,-6.17872566764268e-06,-2.36244179222621e-06,-9.8111070310318e-07,1.76109713975478e-06,3.34337404459196e-06,2.31408620530224e-06,1.61447002781617e-06,-1.39949625455636e-05,-1.75980979605726e-05,-4.18503200988938e-06,-4.32107018390232e-06,3.66228899441116e-07,1.79012425032547e-07,-1.38059695377329e-07,3.11394621116196e-07,-1.65939402769308e-06
"Anthem",-3.69376305916545e-05,-3.20169048141353e-06,3.46113799097956e-05,-1.2752820064308e-06,4.96930917917385e-06,4.75916552035808e-06,5.17714072777664e-06,3.35394842093712e-06,-2.61563231784008e-07,1.60049085029685e-06,-1.82660441050158e-06,-1.00325597038323e-06,-1.47417511191424e-07,-7.99651192806763e-07,-1.32959339696644e-06,-1.04642429924491e-06,-3.92142727354426e-07,2.61158326188646e-06,3.25161794520363e-06,1.97685853827906e-06,-3.07276935166684e-05,-1.09568719663895e-05,-4.02254869285529e-06,-2.09073829612945e-06,3.76222982666012e-06,5.86041047777198e-06,2.63449174470565e-06,5.91235581090362e-07,-2.69537330582943e-05,-3.05674047392263e-05,-2.9081642690087e-06,2.19667785037665e-05,1.02692822033034e-05,3.96207133029454e-06,1.70226166219939e-06,-2.23558886615223e-06,-4.50603533510144e-06,-3.19432071933847e-06,-2.3732171454698e-06,2.36680004054788e-05,2.97282603603997e-05,6.54794734512984e-06,6.97511636174635e-06,-4.80841026476956e-07,-3.11505120826722e-07,2.07696400376405e-07,-4.1293846619959e-07,2.78399752707558e-06
"Blue_Shield",-4.86207302541873e-05,-4.21003587938131e-06,4.56454876013281e-05,-1.76863166117038e-06,4.75916552035808e-06,6.54914547572064e-06,6.5608249201707e-06,3.97717715098823e-06,-2.98866899868197e-07,2.05440656803785e-06,-2.53098581148717e-06,-1.4049496465378e-06,-2.21731047446401e-07,-1.09856082759646e-06,-1.88504531919235e-06,-1.49170724947343e-06,-5.75627582657825e-07,3.34232503890976e-06,4.232602901846e-06,2.54640669147736e-06,-4.01478026423448e-05,-1.43761506228685e-05,-5.12527556551284e-06,-2.7331458604781e-06,4.89114987561247e-06,7.95897181168685e-06,3.73718042779008e-06,1.01739115892911e-06,-3.48781077437153e-05,-3.98712165421038e-05,-3.87020444429998e-06,2.8799946909571e-05,1.36795440742734e-05,5.2028905648407e-06,2.25324915460076e-06,-2.79293098387453e-06,-6.00588548429496e-06,-4.20282469454121e-06,-3.29332522162413e-06,3.0987751352309e-05,3.92701154691846e-05,8.94912750883649e-06,9.01095499721075e-06,-6.84994527339731e-07,-3.38334278427553e-07,3.41505426255859e-07,-7.79361760040999e-07,3.72743293196398e-06
"Kaiser",-5.74024015829951e-05,-5.0253731492969e-06,5.4375055993462e-05,-3.01658399358332e-06,5.17714072777681e-06,6.56082492017094e-06,9.12446100767812e-06,4.13701092985199e-06,-4.12116890498214e-07,2.8601749395303e-06,-2.82317193108427e-06,-1.5457486832462e-06,-2.25419135979957e-07,-1.19201527011272e-06,-2.07665518633076e-06,-1.66793462368152e-06,-6.33453452107463e-07,4.27655147770112e-06,5.24939255851986e-06,3.38549525563831e-06,-4.86579559939654e-05,-1.73881299009332e-05,-6.61836828766515e-06,-3.27519885171002e-06,5.64903120172142e-06,9.37407536475996e-06,4.28398005666499e-06,1.17846428581133e-06,-4.37141706842927e-05,-4.89078343676634e-05,-4.82961319654106e-06,3.49772950762746e-05,1.65939013783487e-05,6.56620932146162e-06,2.66156983107865e-06,-2.98795961190667e-06,-7.27365723535012e-06,-5.36280812826973e-06,-4.29265098538292e-06,3.75947942000731e-05,4.66871974972201e-05,1.11448924406104e-05,1.05030071606453e-05,-8.80752337003475e-07,-4.75812846438499e-07,5.63226016691597e-07,-1.2298684070022e-06,4.31279011587315e-06
"Health_Net",-2.72108515577352e-05,-2.27006816519323e-06,2.47820811239594e-05,-8.17140647895679e-07,3.35394842093713e-06,3.97717715098824e-06,4.13701092985188e-06,3.9637265290824e-06,-2.53934011866184e-07,1.13650282599699e-06,-1.4428155694991e-06,-7.90325954955255e-07,-1.21721935536731e-07,-5.95896825449045e-07,-1.02439663362894e-06,-8.34034458475754e-07,-3.19490715961713e-07,1.87706036674713e-06,2.36855231727298e-06,2.00455258859512e-06,-2.27423391694296e-05,-7.98769857529772e-06,-2.88759326747925e-06,-1.43306044975405e-06,2.67992977748939e-06,4.5948264750695e-06,2.19484654309147e-06,6.41674922959613e-07,-1.94207830090999e-05,-2.22722613442025e-05,-2.50791161763988e-06,1.60332289885863e-05,7.48830612968255e-06,2.86270436641787e-06,1.1722550349394e-06,-1.45447424402926e-06,-3.33611277635731e-06,-2.24193821760602e-06,-1.83376139097093e-06,1.72377295219278e-05,2.20174201865558e-05,4.45529043587813e-06,5.03931200141136e-06,-3.21791277813464e-07,-1.95125184991483e-07,1.64471529419487e-07,-3.80384787487369e-07,2.07655590030485e-06
"hh_size_prem",-1.54522756344714e-06,-1.51061736444498e-06,5.36007834257933e-06,1.25708033671156e-07,-2.61563231784008e-07,-2.98866899868172e-07,-4.12116890498151e-07,-2.53934011866194e-07,1.69660900030898e-06,-5.91274402850049e-06,1.5294704293645e-07,-2.27184688587995e-07,-1.68884556302169e-07,2.2255878389706e-07,-1.6405595597394e-07,-2.9714471252702e-07,-1.6491599691975e-08,-2.8713027139906e-07,-3.14326642524374e-07,-8.21070334922088e-06,2.87578969303338e-05,1.11025374628955e-06,2.20815924924679e-06,7.86832138193103e-07,-8.32269902975684e-07,1.01659584280122e-06,1.90215031218806e-06,3.82670426243488e-07,2.33605978888586e-06,3.30382848689468e-06,4.94914291099368e-06,-1.64220467649917e-05,-1.01750305770918e-06,-1.53600796662722e-06,-4.12598898297631e-07,3.92492132617133e-07,-5.43199376234041e-07,-9.53160561151973e-07,-1.08354169464266e-07,-1.89711797161509e-06,-3.4072738641298e-06,-1.9887475244378e-07,-2.1971606242277e-07,-5.16891381536665e-08,-9.12925808293894e-08,-3.49178918798094e-08,8.43734785819913e-08,-3.0483605147059e-07
"perc_0to17_prem",-9.06679968250049e-06,4.91022861477992e-06,-3.92965241923234e-06,-8.50124694007259e-07,1.60049085029693e-06,2.05440656803769e-06,2.86017493952943e-06,1.13650282599709e-06,-5.91274402850047e-06,8.96622656079196e-05,-1.96106701997597e-06,-4.00095821567275e-07,2.66904449275485e-07,-1.23966349325492e-06,-5.94298636057239e-07,1.09737717662242e-07,-4.74016052349006e-07,-3.95928339495164e-07,3.02214137994683e-07,2.45197975220391e-05,-0.000469354229094394,-7.38900659452584e-06,-8.00533649522105e-06,-2.32271193589647e-06,5.5522632307655e-06,4.16367072364585e-06,-9.16501162887676e-07,1.68155925069541e-06,-7.10612402297959e-07,-1.01621227181671e-05,-1.50383151162999e-05,0.000221174851089942,7.5105080766641e-06,6.67217006825233e-06,1.566863024077e-06,-3.32920900737786e-06,-3.57082387773215e-06,-4.86418348109315e-07,-1.84095536398678e-06,6.97700826512087e-06,1.27018420304807e-05,6.81522616616883e-06,3.6478060465537e-06,-4.18194300541328e-07,7.004776399654e-08,1.09372303407837e-07,-2.19430659450314e-07,1.94669210053339e-06
