plan_id,region,year,tot_nonmiss,obs_purchase,pred_purchase
ANT_BR,1,2014,627,143,166.857082037142
ANT_BR_HSA,1,2014,627,13,81.7024629371898
ANT_G,1,2014,627,20,19.3938204817306
ANT_P,1,2014,627,10,8.97984401495417
ANT_SIL,1,2014,627,393,196.592371764944
BS_BR,1,2014,627,7,8.93160444504289
BS_BR_HSA,1,2014,627,4,4.57568765870629
BS_G,1,2014,627,3,1.2507192530758
BS_P,1,2014,627,3,0.612988710731088
BS_SIL,1,2014,627,29,11.7034693148241
KA_BR,1,2014,627,2,64.6664862069686
KA_G,1,2014,627,0,4.63590502583335
KA_P,1,2014,627,0,3.09145511370308
KA_SIL,1,2014,627,0,54.0061030351541
ANT_BR,1,2015,1213,281,309.990441674267
ANT_BR_HSA,1,2015,1213,59,154.954581229754
ANT_G,1,2015,1213,35,34.3964888100185
ANT_P,1,2015,1213,11,14.5994650957376
ANT_SIL,1,2015,1213,746,385.953746261743
BS_BR,1,2015,1213,13,16.8454552732758
BS_BR_HSA,1,2015,1213,3,8.6499635481413
BS_G,1,2015,1213,2,2.3097740097636
BS_P,1,2015,1213,5,1.10949633590991
BS_SIL,1,2015,1213,48,21.9859081276595
KA_BR,1,2015,1213,2,125.577563954044
KA_G,1,2015,1213,0,10.3450514197236
KA_P,1,2015,1213,1,7.18104285638586
KA_SIL,1,2015,1213,7,119.101021403574
ANT_BR,1,2016,1329,300,322.66677204206
ANT_BR_HSA,1,2016,1329,122,177.185103923582
ANT_G,1,2016,1329,24,23.7651189959741
ANT_P,1,2016,1329,7,9.1072535226552
ANT_SIL,1,2016,1329,663,347.742175204934
BS_BR,1,2016,1329,31,17.3950381364882
BS_BR_HSA,1,2016,1329,6,8.39150583336065
BS_G,1,2016,1329,2,1.59188115907772
BS_P,1,2016,1329,2,0.335418334271683
BS_SIL,1,2016,1329,167,24.2208237567586
HN_BR,1,2016,1329,0,7.15800573856171
HN_G,1,2016,1329,0,0.314097468944145
HN_P,1,2016,1329,0,0.103552916203139
HN_SIL,1,2016,1329,0,5.25045827823247
KA_BR,1,2016,1329,0,139.715364812192
KA_BR_HSA,1,2016,1329,0,72.4057243874526
KA_G,1,2016,1329,0,13.0173876067613
KA_P,1,2016,1329,0,8.21161680414409
KA_SIL,1,2016,1329,5,141.290896188681
Small_BR,1,2016,1329,0,3.45337940831548
Small_G,1,2016,1329,0,0.461668221985376
Small_P,1,2016,1329,0,0.0898281260159154
Small_SIL,1,2016,1329,0,5.12692913334847
ANT_BR,1,2017,1302,233,339.431859024252
ANT_BR_HSA,1,2017,1302,133,173.233045694813
ANT_G,1,2017,1302,23,17.1541282265085
ANT_P,1,2017,1302,5,5.24119902065395
ANT_SIL,1,2017,1302,631,296.003194897374
BS_BR,1,2017,1302,34,11.792223949873
BS_BR_HSA,1,2017,1302,20,6.7268788837387
BS_G,1,2017,1302,11,0.735996238009944
BS_G3,1,2017,1302,0,0.141324210320946
BS_P,1,2017,1302,3,0.116784304447604
BS_P3,1,2017,1302,0,0.024664848082171
BS_SIL,1,2017,1302,204,12.5059171493249
BS_SIL3,1,2017,1302,0,2.42223138824895
HN_BR,1,2017,1302,0,4.73566420556564
HN_G,1,2017,1302,0,0.114982619957893
HN_P,1,2017,1302,0,0.0300333315942291
HN_SIL,1,2017,1302,0,2.33079293162878
KA_BR,1,2017,1302,1,156.898117249691
KA_BR_HSA,1,2017,1302,0,76.5823171052868
KA_G,1,2017,1302,0,15.2490842350685
KA_G_COIN,1,2017,1302,0,19.930491735485
KA_P,1,2017,1302,0,8.27691058820928
KA_SIL,1,2017,1302,4,152.322158161864
ANT_BR,1,2018,1318,249,287.546681229594
ANT_BR_HSA,1,2018,1318,85,135.319184356299
ANT_G,1,2018,1318,5,7.8294729944605
ANT_P,1,2018,1318,3,0.854485735713572
ANT_SIL,1,2018,1318,239,162.991958319458
BS_BR,1,2018,1318,106,20.0365770326629
BS_BR_HSA,1,2018,1318,51,10.0792662301189
BS_G,1,2018,1318,17,1.31290216845355
BS_G3,1,2018,1318,0,0.240986333561066
BS_P,1,2018,1318,3,0.0880032850149439
BS_P3,1,2018,1318,0,0.0116713648730513
BS_SIL,1,2018,1318,547,17.3231408330822
BS_SIL3,1,2018,1318,0,4.45982029582149
KA_BR,1,2018,1318,0,154.861295539509
KA_BR_HSA,1,2018,1318,0,76.7000368451239
KA_G,1,2018,1318,2,60.2957840765235
KA_G_COIN,1,2018,1318,1,67.1701408916463
KA_P,1,2018,1318,2,43.8239140081206
KA_SIL,1,2018,1318,8,267.054678459963
ANT_BR,1,2019,1138,190,244.361339022739
ANT_BR_HSA,1,2019,1138,76,119.983565013904
ANT_G,1,2019,1138,5,14.1616425328786
ANT_P,1,2019,1138,1,1.38349356185567
ANT_SIL,1,2019,1138,284,167.015354069042
BS_BR,1,2019,1138,110,15.0088153360434
BS_BR_HSA,1,2019,1138,59,7.55093062690728
