"param","(Intercept)","log_risk_score","HMO","year_2015","year_2016","year_2017","year_2018","Anthem","Blue_Shield","Kaiser","Health_Net","share_ra2","share_ra3","share_ra4","share_ra5","share_ra6","share_ra7","share_ra8","share_ra9","share_ra10","share_ra11","share_ra12","share_ra13","share_ra14","share_ra15","share_ra16","share_ra17","share_ra18","share_ra19","wedge_ANT","wedge_BS","wedge_CC","wedge_HN","wedge_KA","wedge_LA","wedge_MOL","wedge_OSC","wedge_SH","wedge_VAL","wedge_WEST"
"(Intercept)",5.33915267065849e-06,-1.35766592285279e-05,1.73472524542698e-06,-1.57676702874641e-06,-1.59806321963494e-06,4.55712010941707e-07,1.66911889803265e-06,7.86208290979435e-06,-6.46956450746851e-06,-1.84256578709581e-05,-7.17876957852718e-06,-1.27211889153268e-05,2.97870623246934e-05,1.57300463600343e-06,8.26054526681738e-05,0.000101303868780743,5.48925806417883e-06,1.73255994438029e-05,-8.16376283876618e-07,-2.44879114261139e-05,-0.000173083152937499,-1.87745213984964e-05,-1.39097545571384e-06,-5.09121066463357e-05,2.13466356730368e-07,-4.28086682056604e-06,6.76890617282081e-06,4.29808977677243e-05,7.23790600974545e-06,-1.24770377055283e-05,-9.86277592515887e-06,-4.36032525193852e-05,-1.77935830550184e-05,-2.14795748554345e-05,-7.14936445185222e-06,-2.56702325212292e-06,-7.73940363497591e-05,-2.34519452499526e-05,-2.79864227761289e-05,-3.45202566744206e-05
"log_risk_score",-1.35766592285281e-05,3.95008023904591e-05,-5.08502053927503e-06,4.45307510917842e-06,4.67309873238534e-06,-1.39651480673816e-06,-4.94804816447023e-06,-2.26701636333532e-05,1.94868742032772e-05,5.41429627743482e-05,2.09951923567752e-05,3.44169791066625e-05,-8.80059863191889e-05,-6.65169308765223e-06,-0.000246671661944908,-0.00029418269319317,-1.78736796860311e-05,-4.91856650070287e-05,8.34573810447078e-07,6.83121050340423e-05,0.000489226043405488,4.77307493792498e-05,2.09887208597292e-06,0.00014491129038139,-2.53581489969078e-06,1.07061233367356e-05,-2.1798831670979e-05,-0.000127259741992849,-2.3003239158465e-05,3.87807337277712e-05,3.13481962050653e-05,0.000123809848046927,5.16573387123478e-05,6.22619137004841e-05,2.19070451420662e-05,7.51640742065701e-06,0.000225077193500014,6.89416598601299e-05,8.41391751266289e-05,0.000104686058182343
"HMO",1.73472524543254e-06,-5.08502053928568e-06,0.000332442852400529,1.56378116323586e-06,-7.33219405744568e-06,-2.6087150255094e-05,-2.04774162938768e-05,-0.000120324678171562,-0.000110947466468035,-0.000438246842726779,-2.43237781097515e-05,-7.7999978617793e-05,-0.000544790123653943,-0.00025032924915785,0.00187112567645787,0.000899977114092463,-0.000307914157197997,-0.000954526249503348,0.000188557577460873,0.000299838444850976,0.0037039639653449,-0.000197886718207815,-0.0003426861109931,0.00231575476438372,-0.000827505433655897,5.83945473784612e-05,-0.000427306467683275,8.66893340985968e-06,-0.000328813407155512,-1.65190926814156e-05,0.000262819782714132,0.000188724646054151,0.000129867915304266,-5.85414359349688e-05,-4.41832967867723e-05,-7.22116323692262e-06,-3.48776387787204e-05,1.62184513028834e-05,2.84581379132731e-05,-0.000358664776129133
"year_2015",-1.57676702874611e-06,4.45307510917753e-06,1.56378116323087e-06,4.82427826489562e-05,3.08358119167693e-05,3.06845234802476e-05,2.84207627153866e-05,-1.08131815713529e-05,-5.92649348831877e-06,-1.63511325298119e-05,-1.39379628909013e-05,-1.02965930504524e-05,-5.90717639572931e-05,-3.41806113887836e-05,-4.40723664048704e-05,6.20162048018702e-05,-3.48752302940172e-05,-2.01465236749762e-06,1.03541475890731e-05,-1.60882974166005e-05,-1.24561770427525e-05,-4.5292208370845e-05,-4.20566385845909e-05,8.73482709297973e-05,-5.9925013548584e-05,-2.35471608529586e-05,3.07987746833803e-05,-5.95897363367701e-05,-4.69910712964728e-06,6.320543648164e-07,5.30477146677833e-06,9.94350831428851e-05,5.63666673020023e-06,3.32189523979726e-05,-1.03443793883643e-05,-1.69751951923683e-06,3.23608392658806e-05,-0.000186285938322883,-7.34269470894445e-06,-6.23059932726556e-05
"year_2016",-1.59806321963483e-06,4.67309873238519e-06,-7.33219405745874e-06,3.08358119167687e-05,5.26427168083533e-05,4.21704569967286e-05,3.76458637500494e-05,-1.20979956876254e-05,-1.92086888966532e-05,-2.35208339014557e-05,-2.58324176622666e-05,-2.19811730453984e-05,-7.3537594823232e-05,-4.40923462458885e-05,-5.83220231640136e-05,0.000182304356624607,-3.84614032299218e-05,-7.81868785984489e-06,3.95892488086301e-06,-2.671482414534e-05,-0.000241723785584785,-3.91089035039881e-05,-4.68028988162755e-05,0.000316514799330173,-2.35670829082793e-06,-4.02931001654036e-05,4.06299630975789e-05,-5.9085501162303e-05,3.96707082037817e-06,-3.6055208936628e-06,-2.92527232987911e-06,0.000184313620243185,-3.94707055475709e-06,4.70388881107868e-05,5.45920743124488e-05,-1.67018626462945e-06,2.50457031280436e-05,-0.000270890409836519,-1.97439873539666e-05,8.84988655956117e-05
"year_2017",4.55712010941446e-07,-1.39651480673779e-06,-2.60871502551038e-05,3.06845234802473e-05,4.21704569967287e-05,7.04248252207262e-05,5.12108283672182e-05,1.02812893722008e-05,-1.09535836308899e-06,-3.67960038129562e-06,-2.57091225761755e-05,-3.08746982897634e-06,-2.59249115355539e-05,-4.58243917302926e-05,-0.00033402078266702,0.000253431943407385,-3.92696533256554e-05,0.000233187221660201,2.48994279884535e-05,-0.000101701290746157,-0.000543803663079509,-0.000111956662693683,-3.65217935595345e-05,0.000171733881559751,3.44416233471206e-05,-4.18711650120286e-05,7.14254834724713e-05,-0.000141256278910056,2.70568957694915e-05,9.60975924364906e-06,-4.01748735517035e-05,5.54250914082664e-05,-1.33406249120568e-05,2.91510471060062e-05,6.3342865024033e-05,-2.44408533515917e-06,5.93344822381924e-05,-0.000232432826770679,-8.3934041798796e-05,-7.13290960041546e-05
"year_2018",1.6691188980319e-06,-4.9480481644677e-06,-2.04774162938898e-05,2.84207627153861e-05,3.76458637500483e-05,5.12108283672176e-05,8.51138846238313e-05,1.19594030861735e-05,-2.49330852006717e-05,7.16213124465569e-06,-6.29839930828707e-05,7.23949532655587e-05,-9.22362854690065e-05,-7.08692849561195e-05,-0.000374407962615825,4.64354427514149e-05,-2.7008643563509e-05,0.000376036114704252,0.000111357772320414,-0.000163654702669142,-0.000374760283347542,-0.000164451694770676,-7.6639634087678e-05,0.000651844618117183,3.50480824650999e-05,-5.22088314228693e-05,7.03106198808771e-05,-3.36602943197039e-05,2.39591920818633e-05,-1.03987606666117e-05,-2.62518888807488e-05,2.55934050126616e-05,-7.78710958662028e-06,-4.57191864556055e-05,2.84301140875389e-05,-1.1049998060404e-05,-8.68384776384819e-05,-0.000217556167654311,-5.60760870469528e-06,-0.000223499190658324
"Anthem",7.86208290979219e-06,-2.26701636333528e-05,-0.00012032467817152,-1.08131815713529e-05,-1.2097995687631e-05,1.0281289372197e-05,1.1959403086163e-05,0.000447038080735879,0.000370481123729511,0.000511035905353755,8.71648673759342e-05,-7.78505632697235e-05,0.000358306762666361,6.77239215253736e-05,-0.00119321792465199,-0.00218491257799457,0.000126642231415995,0.000727132531434912,-7.51451459155144e-05,-0.000831645936616245,-0.00488943357845345,-0.000863727269932419,0.000130005877079431,0.000733226292769698,1.17092837640239e-05,0.000182405239959866,0.000117533748046025,-0.000445598736725124,0.000136383085284096,-0.000404191688977124,-5.90809201355751e-05,-0.000299829209718797,8.96306090756822e-06,8.31251132316119e-05,-7.97812231438743e-05,5.6617107063061e-06,-1.54673414502279e-05,1.64212691738122e-05,-6.94643741745038e-05,0.000156483843329452
"Blue_Shield",-6.46956450747243e-06,1.94868742032865e-05,-0.000110947466467963,-5.92649348831713e-06,-1.92086888966635e-05,-1.09535836309947e-06,-2.49330852006879e-05,0.000370481123729513,0.000799552323319679,0.000799375057299336,0.000281895056234462,0.000450359237000413,-0.000192619528275754,3.60376644535456e-05,-0.00304555659698859,-0.00357205256984125,0.0001041506071638,0.000853663068802111,-0.000394410575400443,-0.000302361238215106,-0.00272706172842564,-0.0014122548637769,0.000156533128223547,0.000646581157971787,-0.000445045537102891,0.000519096132757725,-9.88802080762076e-06,-0.001351183419003,9.69180902528881e-05,-1.37173137997813e-05,-0.000246026832087066,-0.000276335294428428,0.000120877857291308,0.000109510390813704,-9.74766117527709e-05,2.93584558514907e-05,0.000424270106312829,0.000142651378639552,-2.36837039187411e-06,-0.00051247123359711
"Kaiser",-1.842565787097e-05,5.41429627743742e-05,-0.000438246842726689,-1.63511325298154e-05,-2.35208339014833e-05,-3.67960038132148e-06,7.16213124460964e-06,0.000511035905353814,0.000799375057299375,0.0016449539653611,0.000195730815796189,0.000595244054582468,0.000260447578747247,9.46160533765868e-05,-0.00673157964451632,-0.0075008993834089,0.000413835146808083,0.00339870287154125,-0.00019727204860475,-0.000798006622946749,-0.0076384659421117,-0.000174615582375255,0.000480389097352806,0.000414302612512714,0.000643771674732249,0.000273779201118683,0.000421822783590945,-0.000836444703698251,0.000399534307853747,-7.02090118434396e-05,-0.000520836678298278,-0.000962935324202178,7.78872985317996e-06,-0.000247193972681897,-5.62921616615601e-05,2.85966794187093e-05,0.000386807222187914,0.00026252515209882,0.000116361487058939,-0.000159599700894694
