scenario,share_worse_obj,mean_obj,p10_obj,p50_obj,p90_obj,share_worse_nav,mean_nav,p10_nav,p50_nav,p90_nav
aligned,0.4366698325446655,11.810544460391423,-89.58134763149019,7.515061033919665,115.56573334586005,0.45868295739699455,6.925386582509348,-9.689747103552008,0.32937867179430214,17.562349568602997
defund_0.50,0.4447334825685263,19.408604816028724,-62.76681557703978,4.080478500200115,99.2066061887599,0.6776781320012365,-3.9454826606927167,-12.600225328443805,-1.2943946300100038,3.5239879391547007
defund_1.00,0.410258565380984,76.92404350284659,-148.60201541532,20.680266059360292,320.7670788098501,0.6272024564971941,-7.350999678683357,-29.389080908474995,-2.247600297429102,13.570443522947002
endog_tau0.50,0.6282021828682107,-26.914264447281372,-108.93115405384924,-12.393609500679304,37.32912213007967,0.2999249154598508,3.7083637825891,-2.653158496160998,1.2446014966229768,9.65584217372998
endog_tau1.00,0.697752506787026,-68.29478091246024,-230.9983953992205,-36.33658419680978,48.70038063633001,0.3569555460299049,5.122666493165926,-6.656347794729982,1.494974560960003,13.552389894920992
flat_mandate,0.6011773517383845,1.7575583522832972,-27.08430149633,-3.0394459312196886,45.70777515123973,0.6504123579440657,-0.8905787704560078,-3.612914515113971,-0.4131969978515997,4.2065185954459
scale_0.25,0.6143731795034147,-31.432185357452433,-139.3705075081998,-12.326562285560613,44.06187460700994,0.3613153989613305,2.6733678802422927,-4.598284206963001,0.8800583047054005,9.221119576085897
scale_0.50,0.5917843131212102,-20.613487231075485,-94.60424219007018,-6.7774892995603295,30.972948534609714,0.3765013405952411,1.6534251023136357,-3.511184803476409,0.5220127710921005,6.249139859073978
scale_0.75,0.5698571059018877,-9.36485117333294,-49.984735883059784,-2.675479457379879,19.893019541539616,0.42699289218364334,0.6242615055554338,-2.366246316143986,0.1538208962792993,3.3430768645760054
uniform,0.49763026093745477,0.128488767364488,-89.85881401119968,0.09213858562998212,89.85061941477989,0.5012560784390634,1.2586762632082003,-8.132531498147017,-0.005619744287997719,9.244473100803987
zero_tau0.00,0.6748316434642363,-400.78258098074167,-1406.4633896882397,-99.04515334375992,293.8231039182201,0.4512188630295491,-66.99613247611781,-82.80251409580399,1.6545259176847011,42.86554977697399
zero_tau0.25,0.6537267240260256,-348.10174797437844,-1117.0300218435195,-68.12306994232699,218.03537925683986,0.41029265226799205,-60.86752330090894,-76.48942257213099,2.50272715252504,35.4528643195099
zero_tau0.50,0.6230382529583215,-261.6918663275797,-832.5137858071394,-41.379437520460215,166.72838337300027,0.3316317906448772,-44.17405784779875,-63.5230617625394,4.118197153982706,32.20067286787301
zero_tau0.75,0.6213891495747897,-202.25722526489872,-567.0347332768501,-33.40753380808019,118.83424382975045,0.30719740913284416,-31.7583806801787,-49.01909097724297,3.5448374304548977,25.318667836103998
zero_tau1.00,0.6934483437444035,-109.0980079824609,-243.12249697674997,-36.86940839200997,50.786713833039926,0.36108060033975675,10.676410418662668,-7.551834227245024,1.5564350794780069,14.1826923903985
