term,estimate,se
(Intercept),0.35925224544949946,0.1680397380637749
im_ANT_Bronze,-0.7163921888296364,0.021937612555328678
im_ANT_Silver,0.017302941712786603,0.01669694768603339
im_ANT_Gold,0.1769622531606704,0.03976680656898885
im_ANT_Platinum,0.9981210154715875,0.043555247530699184
im_BS_Bronze,-0.6774092092375854,0.025015338322485446
im_BS_Silver,0.04484026028320804,0.013738751389857423
im_BS_Gold,0.21103411185428297,0.02430396815473766
im_BS_Platinum,0.8807098367731068,0.03362651790404913
im_CC_Bronze,-0.8726043592638134,0.0757394666708499
im_CC_Silver,-0.07885993049904437,0.05455837856062204
im_CC_Gold,0.14608630156193952,0.3036579937207294
im_CC_Platinum,0.6250419086282085,0.3343772051895979
im_HN_Bronze,-0.87465756744085,0.04948675621765661
im_HN_Silver,-0.03944661390000539,0.017899141005424286
im_HN_Gold,0.026929769902161522,0.046581435331305765
im_HN_Platinum,0.6256849695639264,0.056137325175958215
im_KA_Bronze,-0.7915350179521492,0.019898356798323594
im_KA_Gold,-0.0439834447562743,0.023260574527915127
im_KA_Platinum,-0.019019325832160566,0.018466470288889154
im_LA_Bronze,-0.8974970427159471,0.10311953246143918
im_LA_Silver,-0.14000279621602316,0.04060865875747905
im_LA_Gold,-0.07488461213314447,0.1074976798761735
im_LA_Platinum,0.7595904982487084,0.21776019974180705
im_MOL_Bronze,-1.0302405466298314,0.03644058382104042
im_MOL_Silver,-0.13861848491253034,0.030588297936615483
im_MOL_Gold,-0.035664379943871956,0.09572324778589394
im_MOL_Platinum,0.4066824520219466,0.1296322567341804
im_OSC_Bronze,-1.047114813815814,0.06366756325620841
im_OSC_Silver,-0.13540168769502578,0.07830741094330171
im_OSC_Gold,0.028609004199273695,0.1689094571588593
im_OSC_Platinum,0.77695801779759,0.2537984971255719
im_SH_Bronze,-0.8224298353846148,0.04708988972568609
im_SH_Silver,0.1650120054534461,0.05201803464414091
im_SH_Gold,0.055328839180539935,0.08934515916223257
im_SH_Platinum,0.694761181755216,0.09157754038318221
im_VAL_Bronze,-0.8021716143791169,0.1569852800631087
im_VAL_Silver,-0.13748676574902252,0.09988171449694395
im_VAL_Gold,0.21499475218472888,0.3335598559295187
im_VAL_Platinum,0.9624550815563283,0.5905238536598082
im_WEST_Bronze,-0.9163536572528531,0.08888761410595385
im_WEST_Silver,0.00914344168046887,0.08300588870556873
im_WEST_Gold,-0.03969018649022784,0.20919843871769098
im_WEST_Platinum,0.6773133269673017,0.22720493928357408
share_0to34,-0.30288104782550923,0.13295139759361646
share_male,0.20964363518912585,0.38303865057878983
share_family,0.9811409270904569,0.08755430452477862
share_minority,-0.7182636881184937,0.051292161622375286
